@@220050	##	fo
The	the	at
full-page	full-page	jj_nn1
advertisements	advertisement	nn2
of	of	io
the	the	at
Saturday	saturday	npd1
Evening	evening	nnt1
Post	post	nn1
stated	state	vvd_vvn
that	that	cst
the	the	at
Post	post	nn1
had	have	vhd
never	never	rr
been	be	vbn
sold	sell	vvn
with	with	iw
"	"	"
premiums	premium	nn2
"	"	"
of	of	io
books	book	nn2
or	or	cc
other	other	jj
merchandise	merchandise	nn1
,	,	y
and	and	cc
that	that	cst
it	it	pph1
has	have	vhz
never	never	rr
made	make	vvn
price-cutting	price-cutting	nn1_jj@	
"	"	"
clubbing	club	vvg_nn1@_jj@
"	"	"
offers	offer	nn2
.	.	y
This	this	dd1
is	be	vbz
a	a	at1
challenge	challenge	nn1
to	to	ii
every	every	at1
publisher	publisher	nn1
to	to	to
sell	sell	vvi
his	his	appge
periodical	periodical	nn1
solely	solely	rr
on	on	ii
the	the	at
basis	basis	nn1
of	of	io
editorial	editorial	jj_nn1
content	content	nn1
.	.	y
It	it	pph1
is	be	vbz
a	a	at1
challenge	challenge	nn1
few	few	da2
can	can	vm
meet	meet	vvi
.	.	y
