@@141450	##	fo
As	as	ii_csa
a	a	at1
young	young	jj
Buffalo	buffalo	np1_nn1@
assistant	assistant	jj_nn1
district	district	nn1
attorney	attorney	nn1
,	,	y
Grover	grover	np1
Cleveland	cleveland	np1
managed	manage	vvd
to	to	to
save	save	vvi
enough	enough	rr_dd
out	out	ii21
of	of	ii22
his	his	appge
$10-a-week	$10-a-week	nnu	
pay	pay	vv0_nn1
to	to	to
send	send	vvi
Susan	susan	np1
,	,	y
one	one	mc1
of	of	io
his	his	appge
five	five	mc
sisters	sister	nn2
,	,	y
to	to	ii
college	college	nn1
.	.	y
Sister	sister	nnb
Susan	susan	np1
has	have	vhz
always	always	rr
appreciated	appreciate	vvn
the	the	at
education	education	nn1
her	her	appge
brother	brother	nn1
gave	give	vvd
her	her	ppho1
,	,	y
has	have	vhz
conscientiously	conscientiously	rr
kept	keep	vvn
up	up	rp_ii@
her	her	appge
interest	interest	nn1
in	in	ii
national	national	jj
affairs	affair	nn2
.	.	y
She	she	pphs1
fought	fight	vvd
in	in	ii
the	the	at
front	front	jj_nn1
line	line	nn1
of	of	io
the	the	at
Woman	woman	nn1
's	's	ge
Christian	christian	jj
Temperance	temperance	nn1
Union	union	nn1_np1
,	,	y
spoke	speak	vvd
out	out	rp
for	for	if
the	the	at
League	league	nn1
of	of	io
Nations	nation	nn2
.	.	y
<P>	<p>	null	
Physically	physically	rr
but	but	ccb
not	not	xx
mentally	mentally	rr
incapacitated	incapacitate	vvn_jj
last	last	md
week	week	nnt1
in	in	ii
Brooklyn	brooklyn	np1
,	,	y
Mrs.	mrs.-	nnb
Susan	susan	np1
Cleveland	cleveland	np1
Yeomans	yeomans	np1
,	,	y
93	93	mc
,	,	y
feebly	feebly	rr
declared	declare	vvn_vvd
through	through	ii
her	her	appge
daughter	daughter	nn1
that	that	cst
the	the	at
1936	1936	mc
Democratic	democratic	jj
New	new	jj
Deal	deal	nn1
well	well	rr
matched	match	vvn_vvd@
her	her	appge
brother	brother	nn1
's	's	ge
idealism	idealism	nn1
,	,	y
announced	announce	vvd
she	she	pphs1
was	be	vbdz
hoping	hope	vvg
for	for	if
another	another	dd1
Democratic	democratic	jj
victory	victory	nn1
.	.	y
Said	say	vvd
she	she	pphs1
:	:	y
"	"	"
I	i	ppis1
take	take	vv0
great	great	jj
courage	courage	nn1
in	in	ii
anticipating	anticipate	vvg
a	a	at1
bright	bright	jj
future	future	nn1
under	under	ii
the	the	at
continued	continue	jj
efficient	efficient	jj
management	management	nn1
of	of	io
President	president	nnb
Roosevelt	roosevelt	np1
.	.	y
"	"	"
