@@230450	##	fo
Still	still	rr
admiring	admire	vvg@
the	the	at
orchids	orchid	nn2
it	it	pph1
had	have	vhd
collected	collect	vvn
for	for	if
its	its	appge
Kefauver	kefauver	nn1	
and	and	cc
MacArthur	macarthur	np1
coverage	coverage	nn1
,	,	y
television	television	nn1
accepted	accept	vvd_vvn
another	another	dd1
nosegay	nosegay	nn1
last	last	md
week	week	nnt1
.	.	y
The	the	at
University	university	nn1
of	of	io
Cincinnati	cincinnati	np1
polled	poll	vvd
694	694	mc
local	local	jj
high-school	high-school	jj_nn1
teachers	teacher	nn2
on	on	ii
the	the	at
educational	educational	jj
possibilities	possibility	nn2
of	of	io
TV	tv	nn1
,	,	y
found	find	vvd
1	1	mc1
)	)	y
92%	92%	nnu
in	in	ii31
favor	favor	ii32
of	of	ii33
TV	tv	nn1
programs	program	nn2
for	for	if
school	school	nn1
use	use	nn1_vv0
;	;	y
2	2	mc
)	)	y
74%	74%	nnu
willing	willing	jj
to	to	to
change	change	vvi
class	class	nn1
schedules	schedule	nn2_vvz@
to	to	to
take	take	vvi
advantage	advantage	nn1
of	of	io
television	television	nn1
;	;	y
3	3	mc
)	)	y
58%	58%	nnu
ready	ready	jj
to	to	to
accept	accept	vvi
"	"	"
restricted	restricted	jj
"	"	"
advertising	advertising	nn1
commercials	commercial	nn2
to	to	to
pay	pay	vvi
the	the	at
bill	bill	nn1
for	for	if
school	school	nn1
TV	tv	nn1
;	;	y
4	4	mc
)	)	y
75%	75%	nnu
eager	eager	jj
to	to	to
let	let	vvi
their	their	appge
students	student	nn2
spend	spend	vvi
30	30	mc
minutes	minute	nnt2
or	or	cc
more	more	dar
of	of	io
the	the	at
school	school	nn1
day	day	nnt1
viewing	view	vvg
special	special	jj
TV	tv	nn1
shows	show	nn2_vvz
.	.	y
