@@157850	##	fo
Vittorio	vittorio	np1
Emanuele	emanuele	np1
kept	keep	vvd
his	his	appge
promise	promise	nn1
.	.	y
The	the	at
day	day	nnt1
after	after	ii_cs
the	the	at
Allies	ally	nn2
entered	enter	vvd_vvn
Rome	rome	np1
,	,	y
the	the	at
Little	little	jj
King	king	nn1
turned	turn	vvd_vvn
over	over	rp
his	his	appge
powers	power	nn2
(	(	y
but	but	ccb
not	not	xx
his	his	appge
title	title	nn1
)	)	y
to	to	ii
his	his	appge
son	son	nn1
,	,	y
36-year-old	36-year-old	jj
Crown	crown	nn1
Prince	prince	nnb
Umberto	umberto	np1
.	.	y
At	at	rr21
least	least	rr22
until	until	cs_ii@
the	the	at
U.S.	u.s.-	np1
and	and	cc
Britain	britain	np1
keep	keep	vv0
their	their	appge
promise	promise	nn1
,	,	y
give	give	vv0
Italians	italian	nn2
a	a	at1
chance	chance	nn1
to	to	to
choose	choose	vvi
their	their	appge
own	own	da
government	government	nn1
,	,	y
the	the	at
Crown	crown	nn1
Prince	prince	nn1
will	will	vm
rule	rule	vvi
as	as	ii@_csa
Lieutenant	lieutenant	nn1
of	of	io
the	the	at
Realm	realm	nn1
.	.	y
