@@337550	##	fo
Buoyed	buoy	vvn
by	by	ii
the	the	at
strong	strong	jj
yen	yen	nn
,	,	y
the	the	at
Japanese	japanese	nn1_jj
last	last	md
year	year	nnt1
poured	pour	vvd_vvn
nearly	nearly	rr
$6	$6	nnu
billion	billion	m
into	into	ii
acquisitions	acquisition	nn2
of	of	io
U.S.	u.s.-	np1
companies	company	nn2
.	.	y
But	but	ccb
few	few	da2
of	of	io
those	those	dd2
investments	investment	nn2
were	be	vbdr
larger	large	jjr
 -- 	--	nn1_jj
or	or	cc
more	more	rgr
stunning	stunning	jj
 -- 	--	nn1_jj
than	than	csn
the	the	at
venture	venture	nn1
announced	announce	vvd_vvn
last	last	md
week	week	nnt1
by	by	ii
two	two	mc
renowned	renowned	jj
names	name	nn2
in	in	ii
the	the	at
world	world	nn1
tire	tire	vv0
industry	industry	nn1
:	:	y
Tokyo	tokyo	np1
's	's	ge
Bridgestone	bridgestone	np1_nn1@
and	and	cc
Chicago	chicago	np1
's	's	ge
Firestone	firestone	np1_nn1@
.	.	y
As	as	ii
part	part	nn1
of	of	io
a	a	at1
$1.25	$1.25	nnu
billion	billion	m
deal	deal	nn1
,	,	y
Bridgestone	bridgestone	np1
will	will	vm
take	take	vvi
over	over	ii_rp
Firestone	firestone	np1
's	's	ge
tire	tire	vv0
business	business	nn1
,	,	y
though	though	cs
the	the	at
U.S.	u.s.-	np1
firm	firm	nn1
will	will	vm
retain	retain	vvi
a	a	at1
25%	25%	nnu
interest	interest	nn1
in	in	ii
those	those	dd2
operations	operation	nn2
.	.	y
<P>	<p>	null	
The	the	at
87-year-old	87-year-old	jj
Firestone	firestone	nn1@_np1
will	will	vm
emerge	emerge	vvi
from	from	ii
the	the	at
agreement	agreement	nn1
as	as	ii_csa
a	a	at1
smaller	small	jjr
company	company	nn1
,	,	y
operating	operate	vvg
retail	retail	jj
tire	tire	vv0
stores	store	nn2
and	and	cc
manufacturing	manufacturing	nn1_vvg@
building	building	nn1
materials	material	nn2
.	.	y
Most	most	dat
of	of	io
the	the	at
$1.25	$1.25	nnu
billion	billion	m
will	will	vm
be	be	vbi
distributed	distribute	vvn
to	to	ii
Firestone	firestone	np1
shareholders	shareholder	nn2
,	,	y
who	who	pnqs
suffered	suffer	vvd
during	during	ii
the	the	at
recession	recession	nn1
of	of	io
the	the	at
early	early	jj
1980s	1980s	mc2
.	.	y
Firestone	firestone	nn1_np1@
Chairman	chairman	nn1
John	john	np1
Nevin	nevin	np1
decided	decide	vvd
that	that	cst
the	the	at
Bridgestone	bridgestone	np1_nn1@
offer	offer	nn1
was	be	vbdz
a	a	at1
windfall	windfall	nn1
for	for	if
shareholders	shareholder	nn2
too	too	rg
good	good	jj
to	to	to
pass	pass	vvi
up	up	rp
.	.	y
