@@332250	##	fo
Geese	goose	nn2
toting	tote	jj@	
M-16s	m-16s	mc2
?	?	y
Well	well	rr
,	,	y
not	not	xx
quite	quite	rr@_rg
,	,	y
but	but	ccb
after	after	cs_ii
a	a	at1
successful	successful	jj
trial	trial	nn1
run	run	nn1_vvn
,	,	y
gaggles	gaggle	nn2_vvz
of	of	io
geese	goose	nn2
will	will	vm
soon	soon	rr
begin	begin	vvi
guard	guard	nn1
duty	duty	nn1
at	at	ii
American	american	jj
military	military	jj
installations	installation	nn2
in	in	ii
West	west	np1
Germany	germany	np1
.	.	y
Eventually	eventually	rr
,	,	y
900	900	mc
of	of	io
the	the	at
squawking	squawk	jj@_nn1@
waterfowl	waterfowl	nn1
,	,	y
in	in	ii
platoons	platoon	nn2
of	of	io
six	six	mc
to	to	ii
40	40	mc
,	,	y
will	will	vm
take	take	vvi
up	up	rp
posts	post	nn2
at	at	ii
30	30	mc
sites	site	nn2
run	run	vvn
by	by	ii
the	the	at
U.S.	u.s.-	np1
Army	army	nn1
's	's	ge
32nd	32nd	md
Air	air	nn1
Defense	defense	nn1
Command	command	nn1
.	.	y
The	the	at
idea	idea	nn1
is	be	vbz
not	not	xx
as	as	rg
ludicrous	ludicrous	jj
as	as	csa
it	it	pph1
may	may	vm
seem	seem	vvi
.	.	y
With	with	iw
their	their	appge
acute	acute	jj
sense	sense	nn1
of	of	io
hearing	hear	nn1_vvg
,	,	y
geese	goose	nn2
when	when	rrq_cs
startled	startle	jj_vvn
sound	sound	nn1
the	the	at
alarm	alarm	nn1
by	by	ii
hissing	hiss	vvg_nn1@
,	,	y
honking	honk	vvg
loudly	loudly	rr
and	and	cc
flapping	flap	vvg
their	their	appge
wings	wing	nn2
.	.	y
Indeed	indeed	rr
,	,	y
the	the	at
ancient	ancient	jj
Romans	roman	nn2
used	use	jj_vvd_vvn
geese	goose	nn2
as	as	csa_ii@
guards	guard	nn2_vvz@
.	.	y
The	the	at
web-footed	web-footed	jj
sentinels	sentinel	nn2
are	be	vbr
said	say	vvn@
to	to	to
have	have	vhi
saved	save	vvn
Rome	rome	np1
by	by	ii
raising	raise	vvg
a	a	at1
noisy	noisy	jj
commotion	commotion	nn1
as	as	ii_csa
the	the	at
Gauls	gaul	np2_nn2
approached	approach	vvd
the	the	at
city	city	nn1
walls	wall	nn2
in	in	ii
390	390	mc
B.C.	b.c.-a	ra
What	what	ddq
is	be	vbz
more	more	rrr_dar
,	,	y
the	the	at
entire	entire	jj
goose	goose	nn1
patrol	patrol	nn1
will	will	vm
cost	cost	vvi
the	the	at
Army	army	nn1
about	about	rg
half	half	db
the	the	at
annual	annual	jj
tab	tab	nn1
for	for	if
a	a	at1
single	single	jj
trained	train	jj@
guard	guard	nn1
dog	dog	nn1
.	.	y
